"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Amrut Portonova","8.95","0.30","23","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Hakushu Sherry Cask","8.95","0.49","7","$$$$$+","SingleMalt-like","ABC","B","Japan","Malt"
"Amrut Madeira Cask Finish (Batch 1)","8.94","0.21","4","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Aberlour A'Bunadh (all batches)","8.93","0.19","34","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Port Cask","8.93","0.33","17","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 18yo Sherry Oak","8.93","0.32","23","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Tomatin 40yo","8.93","0.37","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Bunnahabhain 25yo","8.92","0.32","21","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Highland Park 21yo","8.92","0.39","18","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie TUN 1509 (all batches)","8.91","0.18","13","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"BenRiach 35yo","8.91","0.64","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 4)","8.91","0.23","14","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet XXV 25yo","8.91","0.22","14","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 47)","8.90","0.33","11","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 17yo Solstice 1st Peated Port Finish","8.90","0.21","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 21yo","8.90","0.20","23","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 40yo","8.90","0.84","3","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 54)","8.89","0.22","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Intermediate Sherry","8.89","0.46","26","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Amrut Kadhambam","8.89","0.25","23","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Highland Park 16yo Thor","8.89","0.29","14","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Springbank 12yo Cask Strength","8.89","0.3","26","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 46)","8.88","0.09","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kilchoman PX Sherry Finish","8.88","0.19","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 10yo Sherry Oak Cask Strength","8.88","0.55","6","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut PX Sherry Single Cask 3516 (SAQ)","8.87","0.19","6","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Bruichladdich Port Charlotte 2009 MC:01","8.87","0.21","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Compass Box This is Not a Luxury Whisky","8.87","0.46","15","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kilchoman Loch Gorm","8.87","0.21","25","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 25yo Sherry Oak","8.87","0.45","9","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 34)","8.86","0.29","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (all batches)","8.86","0.17","25","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 3)","8.86","0.25","9","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenrothes 25yo","8.86","0.48","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Scallywag 13yo","8.86","0.07","4","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Bowmore 25yo","8.85","0.48","9","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glen Garioch 1998 Wine Cask Matured","8.85","0.24","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 15yo Revival","8.85","0.26","26","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet Nadurra 16yo","8.85","0.21","27","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Green Spot Chateau Leoville Barton","8.85","0.35","14","$$$$","SingleMalt-like","ABC","C","Ireland","Blend"
"Smogen Sherry Project 1:2","8.85","0.2","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"White Oak Akashi 14yo","8.85","0.55","3","$$$$$+","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour 12yo Non-Chill-Filtered","8.84","0.23","16","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Aberlour A'Bunadh (Batch 61)","8.84","0.21","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 18yo Latada","8.84","0.16","8","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Box (High Coast) PX - Pedro Ximénez Finish","8.84","0.20","9","$$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
