name,rating
Facundo Exquisito Rum,9.4
Ron Diplomático Reserva Exclusiva Rum,9.4
Ron Diplomático Reserva Exclusiva Rum,9.4
Paul Beau Lignee de Samuel Cognac,9.4
HINE Triomphe Cognac,9.4
Tequila Lapis Platinum,9.4
Fuenteseca Reserva Extra Añejo Tequila 12 Años ,9.4
Avión Reserva 44 Extra Añejo,9.4
La Venenosa Costa Raicilla (Green Label) ,9.4
Don Julio Blanco Tequila,9.4
Bruxo No. 4 Ensamble Mezcal,9.4
El Jolgorio Espadín Mezcal,9.4
Mezcal de las Hormigas,9.4
Mezcal de las Hormigas,9.4
t1 Tequila Añejo Estelar ,9.4
Tequila ArteNOM Selección de 1146 Añejo ,9.4
Del Maguey Chichicapa Mezcal,9.4
Expresiones del Corazón Old Rip Van Winkle Añejo Tequila,9.4
Fortaleza Blanco Tequila,9.4
Tequila Tapatio Añejo,9.4
Mezcalero No. 10,9.4
Tequila ArteNOM Selección de 1580 Blanco,9.4
Säntis Malt Appenzeller Single Malt Edition Dreifaltigkeit,9.4
Woodford Reserve Master's Collection 1838 Style White Corn Bourbon,9.4
Woodford Reserve Master's Collection 1838 Style White Corn Bourbon,9.4
Azuñia Añejo Tequila,9.4
Azuñia Reposado Tequila,9.4
Laphroaig Cairdeas 200th Anniversary Edition ,9.4
Glenmorangie 1970's Collection '71,9.4
Glenmorangie 1970's Collection '76,9.4
Heartwood The Revelation Single Malt,9.4
Laphroaig 10 Year Cask Strength Batch 005,9.4
Octomore 06.1/167 Scottish Barley,9.4
Highland Park 21 Year,9.4
I.W. Harper Straight Bourbon ,9.4
I.W. Harper Straight Bourbon ,9.4
Jura 1984,9.4
I.W. Harper 15 Year Bourbon,9.4
The Balvenie Peated Cask 17 Year,9.4
Balblair 1999 2nd Release,9.4
anCnoc Vintage 1975,9.4
Woodford Reserve Straight Rye,9.4
Four Roses Limited Edition Small Batch Bourbon (2014) ,9.4
Yamazaki Sherry Cask 2013,9.4
Old Pulteney 21 Year,9.4
Glenfarclas 40 Year,9.4
Glenfarclas 40 Year,9.4
Lock Stock & Barrel Straight Rye Whiskey 13 Year,9.4
Michter's 20 Year Single Barrel Bourbon,9.4
Parker's Heritage Wheat Whiskey 13 Year,9.4
Westland Peat Week Single Cask Release #279,9.4
Glen Spey 21 Year,9.4
GlenDronach Parliament 21 Year,9.4
Laphroaig 10 Year Cask Strength,9.4
Suntory Royal,9.4
Hakushu Heavily Peated,9.4
J.P. Wiser's Legacy Canadian Whisky,9.4
J.P. Wiser's Legacy Canadian Whisky,9.4
Talisker 18 Year,9.4
Port Charlotte PC7 Sin An Doigh Ileach,9.4
Compass Box Spice Tree,9.4
Buchanan's Red Seal,9.4
Johnnie Walker Platinum,9.4
Laphroaig 30 Year The Ian Hunter Story Book 1,9.3
Stagg Jr. Barrel Proof Bourbon Batch 13,9.3
Pike Creek 21 Year Oloroso Cask Finish,9.3
Caravedo Pisco Acholado,9.3
Angel's Envy Bourbon Finished in Port Wine Barrels Cask Strength (2019 Edition),9.3
Angel's Envy Bourbon Finished in Port Wine Barrels Cask Strength (2019 Edition),9.3
Canadian Club Chronicles 42 Year ,9.3
Aberfeldy Exceptional Cask Series 18 Year Double Cask,9.3
Four Roses Limited Edition Small Batch Bourbon (2019),9.3
Bruichladdich Bere Barley 2010,9.3
Don Julio Reposado Double Cask Lagavulin Finish,9.3
Clynelish 20 Year 200th Anniversary,9.3
Bowmore 15 Year Fèis Ìle 2019,9.3
Caol Ila 22 Year Fèis Ìle 2019,9.3
Crop Organic Cucumber Vodka,9.3
Forager's Keep 26 Year,9.3
Forager's Keep 26 Year,9.3
Wild Turkey Master's Keep Cornerstone Rye,9.3
Bulleit 12 Year Rye,9.3
Elijah Craig Barrel Proof Bourbon Batch A119,9.3
Port Charlotte MRC:01 2010,9.3
Mr Black Cold Brew Coffee Liqueur,9.3
Booker's 30th Anniversary Bourbon,9.3
Port Askaig 33 Year,9.3
Springbank 9 Year Local Barley,9.3
Fernet Leopold Highland Amaro,9.3
"Luxardo Cherry ""Sangue Morlacco"" Liqueur",9.3
"Luxardo Cherry ""Sangue Morlacco"" Liqueur",9.3
Craigellachie 33 Year,9.3
Roger Groult Calvados 12 Year ,9.3
Ancho Reyes Ancho Chile Liqueur,9.3
Aerstone Land Cask 10 Year,9.3
Kilbeggan Small Batch Rye,9.3
Grand Marnier Cuvée du Centenaire,9.3
Pike Creek 21 Year Finished in European Oak ,9.3
Sazerac Rye 18 Year (Fall 2018),9.3
George T. Stagg Bourbon (Fall 2018),9.3
Octomore 09.2 Dialogos,9.3
Octomore 09.2 Dialogos,9.3
Four Roses 130th Anniversary Limited Edition Small Batch Bourbon (2018),9.3
Heaven Hill 27 Year Barrel Proof Kentucky Straight Bourbon,9.3
Laphroaig Cairdeas 2018 Fino Cask Finish,9.3
J.P. Wiser's Seasoned Oak,9.3
Abraham Bowman Sweet XVI Bourbon,9.3
Springbank 2004 12 Year Single Cask First-Fill Burgundy,9.3
Woodford Reserve Master's Collection Batch Proof 2018,9.3
Tyrconnell 15 Year Madeira Cask Finish,9.3
Sipsmith Lemon Drizzle Gin,9.3
El Tesoro Extra Añejo 80th Anniversary,9.3
El Tesoro Extra Añejo 80th Anniversary,9.3
Bowmore Vintner's Trilogy 18 Year Double Matured Manzanilla,9.3
Pike Creek 21 Year Finished in Speyside Single Malt Casks,9.3
Bladnoch Adela 15 Year,9.3
Koskenkorva Vodka,9.3
Nikka Miyagikyo Sherry & Sweet,9.3
Westward American Single Malt,9.3
Thomas H. Handy Sazerac Rye (Fall 2017),9.3
Collectivum XXVIII (2017 Special Release),9.3
Caol Ila 18 Year (2017 Special Release),9.3
Parker's Heritage 11 Year Single Barrel Bourbon,9.3
Parker's Heritage 11 Year Single Barrel Bourbon,9.3
Wayne Gretzky No. 99 Ninety Nine Proof Canadian Whisky,9.3
The Balvenie Peated Triple Cask 14 Year,9.3
Kavalan Solist Port Single Cask Strength,9.3
