name,rating,type
123 Organic Extra Añejo Diablito Tequila ,9.5,Tequila Blanco
Forty Creek John's Private Cask No. 1,9.5,Tequila Blanco
Del Maguey Pechuga Mezcal,9.5,Tequila Reposado
Wahaka Mezcal Tobalá,9.5,Tequila Reposado
Wahaka Mezcal Joven Madre Cuishe,9.5,Peated Single Malt
Wahaka Mezcal Joven Madre Cuishe,9.5,Single Malt
Glenfiddich Rare Collection Vintage 1978 Cask #28121,9.5,Single Malt
Don Pilar Extra Añejo Tequila,9.5,Bourbon
Guillon-Painturaud Renaissance Grande Champagne Cognac,9.5,Bourbon
Mezan Panama Rum 1999,9.5,Bourbon
Clément XO Rhum Agricole,9.5,Single Malt
Appleton Estate 21 Year Rum,9.5,Peated Single Malt
Novo Fogo Tanager Cachaça,9.5,Bourbon
Château de Ravignan Bas-Armagnac 1985,9.5,Single Malt
Clear Creek Pinot Noir Grappa,9.5,Single Malt
Fuenteseca Reserva Extra Añejo Tequila 21 Años ,9.5,Single Malt
Fuenteseca Reserva Extra Añejo Tequila 21 Años ,9.5,Peated Single Malt
Mezcal Vago Tobalá ,9.5,Single Malt
Don Julio Añejo Tequila,9.5,Peated Single Malt
Dulce Vida Añejo 100 Proof Tequila,9.5,Bourbon
Espíritu Lauro Añejo Mezcal,9.5,Bourbon
t1 Tequila Blanco Ultra Fino ,9.5,Peated Single Malt
Gran Centenario Plata Tequila,9.5,Peated Single Malt
"Tequila Ocho Reposado ""Las Pomez"" 2009",9.5,Peated Single Malt
Siembra Azul 10th Anniversary Reposado Tequila,9.5,Peated Blended Malt
Caol Ila 30 Year (2014 Special Release),9.5,Single Malt
Benromach Organic ,9.5,Bourbon
Benromach Organic ,9.5,Peated Single Malt
Bruichladdich Black Art 1990 04.1 Edition 23 Year,9.5,Tequila Blanco
Belle Meade Cask Strength Single Barrel Bourbon 9 Year,9.5,Amaro
Wild Turkey Master's Keep 17 Year Bourbon,9.5,Rye
Russell's Reserve Single Barrel Bourbon,9.5,Single Malt
The Macallan No. 6 in Lalique,9.5,Aged Rum
Highland Park Freya,9.5,Floral Liqueurs
"Colonel E.H. Taylor, Jr. Cured Oak Bottled in Bond Bourbon",9.5,Peated Single Malt
Deanston 18 Year Cognac Cask ,9.5,Canadian
Edradour Straight From The Cask Port Wood Finish 12 Year,9.5,Bourbon
Arran The Devil's Punch Bowl Chapter III The Fiendish Finale,9.5,Tequila Blanco
Arran The Devil's Punch Bowl Chapter III The Fiendish Finale,9.5,Bourbon
Laphroaig 25 Year ,9.5,Flavored Vodka
