name,rating,type
Jura Seven Wood,8.17,Malt
Tullibardine 500 Sherry Finish,8.17,Malt
Mackmyra Blomstertid,8.11,Malt
Glenrothes Sherry Cask Reserve,8.09,Malt
Dalmore Gran Reserva,8.06,Malt
Lohin McKinnon Wine Barrel Finished (Black Sage),8.06,Malt
Bladnoch Samsara,8.05,Malt
Laphroaig Select,8.04,Malt
Longmorn Distiller's Choice,8.02,Malt
Penderyn Madeira,8.0,Malt
Royal Lochnagar 12yo,8.0,Malt
Jura 16yo,7.95,Malt
Tullibardine 1993 Port,7.95,Malt
Penderyn Sherrywood,7.9,Malt
Jura Turas Mara,7.88,Malt
Amrut PX Sherry Single Cask 2702,7.85,Malt
Singleton of Dufftown Spey Cascade,7.45,Malt
Ichiro's Malt The Joker,9.22,Malt
Bruichladdich Black Art 6.x 1990,9.2,Malt
Hibiki 21yo,9.17,Blend
Bunnahabhain 40yo,9.12,Malt
Bruichladdich Black Art 3.x 1989,9.11,Malt
Midleton Very Rare 2017,9.1,Blend
Glencadam 25yo,9.07,Malt
Glenfiddich 30yo,9.07,Malt
Midleton Dair Ghaelach,9.07,Blend
Amrut Virgin Oak Single Cask,9.04,Malt
Bruichladdich Black Art 2.x 1989,9.04,Malt
Cragganmore 25yo,9.02,Malt
Redbreast 12yo Cask Strength,9.02,Malt
Mackmyra Reserve Single Cask (various casks),9.01,Malt
Aultmore 25yo,8.98,Malt
Amrut Double Cask,8.97,Malt
Kanosuke New Born 2018 8mo,8.97,Malt
Compass Box 3yo Deluxe,8.95,Malt
Old Pulteney 25yo,8.95,Malt
Yamazaki Mizunara,8.95,Malt
Arran Malt 18yo,8.94,Malt
GlenDronach 19yo Madeira Finish,8.94,Malt
Two Brewers Release 14 Innovative,8.94,Malt
Bruichladdich The Organic 2010,8.93,Malt
Bruichladdich Black Art 5.x 1992,8.92,Malt
Craigellachie 23yo,8.92,Malt
Glenlivet Nadurra First Fill (White Oak),8.92,Malt
Tomatin Decades,8.92,Malt
Yamazaki Limited Edition 2016,8.92,Malt
Shelter Point French Oak Double Barreled,8.91,Malt
Amrut Herald,8.9,Malt
Amrut Fusion,8.89,Malt
Caol Ila 18yo Unpeated 2017,8.89,Malt
Glenmorangie Ealanta,8.89,Malt
Kavalan ex-Bourbon Oak,8.89,Malt
Macallan Edition No. 2,8.89,Malt
Mortlach 16yo,8.89,Malt
Glen Grant 25yo,8.88,Malt
Macallan Edition No. 4,8.88,Malt
Compass Box Phenomenology,8.86,Malt
Kininvie 17yo (all batches),8.86,Malt
Arran Malt 17yo,8.85,Malt
Arran Malt Bourbon Single Cask,8.85,Malt
Arran Malt The Devil’s Punch Bowl (all chapters),8.85,Malt
Balblair 15yo,8.84,Malt
Box (High Coast) The 2nd Step Collection 02,8.84,Malt
Compass Box Spice Tree Extravaganza,8.84,Malt
Kavalan Solist Ex-Bourbon,8.84,Malt
Glenmorangie Astar,8.83,Malt
Mackmyra Moment Glöd,8.83,Malt
Bruichladdich 21yo Cuvée 382 La Berenice,8.82,Malt
Bruichladdich 21yo Cuvée 640 Eroica,8.82,Malt
Mackmyra Moment Urberg,8.82,Malt
Glenlivet 21yo Archive (all batches),8.81,Malt
Midleton Very Rare (all vintages),8.81,Blend
BenRiach 25yo,8.8,Malt
Glen Grant Five Decades,8.8,Malt
Hibiki 17yo,8.8,Blend
Midleton Very Rare 2016,8.8,Blend
Nikka From the Barrel,8.8,Blend
Paul John Single Cask,8.8,Malt
Amrut Two Continents,8.79,Malt
Game of Thrones House Tyrell Clynelish Reserve,8.79,Malt
Arran Malt Tokaji Aszu Wine Finish,8.78,Malt
Auchentoshan 21yo,8.78,Malt
Macallan Edition No. 1,8.78,Malt
Nikka Taketsuru 17yo,8.78,Malt
Old Pulteney 15yo,8.78,Malt
Aberfeldy 21yo,8.77,Malt
Hakushu 18yo,8.77,Malt
Mortlach Special Strength,8.77,Malt
Old Pulteney 17yo,8.77,Malt
Compass Box Spice Tree,8.76,Malt
Cragganmore NAS (Special Release 2016),8.76,Malt
Glenfiddich Winter Storm 21yo Experimental Series No. 3,8.76,Malt
Strathmill 25yo,8.76,Malt
Macallan Edition No. 3,8.75,Malt
Arran Malt Napoleon Cognac Finish,8.74,Malt
Glen Scotia 15yo,8.74,Malt
Glenfiddich Cask of Dreams,8.74,Malt
Mackmyra Moment Rimfrost,8.74,Malt
Mackmyra Special 04,8.74,Malt
Redbreast 15yo,8.74,Malt
Two Brewers Release 08 Innovative,8.74,Malt
Amrut Bourbon Single Cask,8.73,Malt
Clynelish 14yo,8.73,Malt
Glenfiddich 19yo Age of Discovery (Bourbon Cask),8.73,Malt
Glenmorangie 18yo,8.73,Malt
Balvenie 12yo Single Barrel,8.72,Malt
Westland Single Cask,8.72,Malt
AnCnoc 18yo,8.71,Malt
Bruichladdich Black Art 4.x 1990,8.71,Malt
Redbreast 12yo,8.71,Malt
Box (High Coast) The Festival 2016,8.7,Malt
Glenfiddich Project XX Experimental Series No. 2,8.7,Malt
Balvenie 25yo Single Barrel,8.69,Malt
Bunnahabhain 12yo,8.69,Malt
Glen Garioch 12yo,8.69,Malt
Mortlach 18yo,8.69,Malt
Glenfiddich 15yo Distillery Edition,8.68,Malt
Macallan 18yo Fine Oak,8.67,Malt
Mackmyra Special 03,8.67,Malt
Bruichladdich The Organic 2009,8.66,Malt
Caol Ila 17yo Unpeated 2015,8.66,Malt
Nikka Coffey Malt,8.66,Malt
Two Brewers Release 04 Special Finishes,8.66,Malt
Ichiro's Malt Double Distilleries,8.65,Malt
Storas 21yo Rare Cask Reserves Blended,8.65,Blend
"Bruichladdich The Organic (Mid Coul, Coulmore, Mains of Tullibardine Farms)",8.64,Malt
Teerenpeli Distiller's Choice KASKI,8.64,Malt
Balcones Texas Single Malt Whisky,8.63,Malt
Kilkerran Work in Progress Sherry Wood,8.63,Malt
Timorous Beastie 18yo,8.63,Malt
Glenrothes Vintage 1995 (all bottlings),8.62,Malt
Sullivans Cove Port Cask Strength,8.62,Malt
Craigellachie 17yo,8.6,Malt
Mackmyra Special 09,8.6,Malt
Paul John Classic Select Cask,8.6,Malt
Bruichladdich The Organic (all editions),8.59,Malt
Compass Box Oak Cross,8.59,Malt
Glenlivet Cipher,8.59,Malt
Glenfiddich 18yo,8.57,Malt
Old Pulteney 18yo,8.57,Malt
Glenlivet 18yo,8.56,Malt
Sullivans Cove Bourbon Cask Strength,8.56,Malt
