name,rating
Auchentoshan 1981 Cadenhead's,8.8
Auchentoshan 1983 Scott's Selection,8.5
Auchentoshan 1992 Cadenhead's,8.8
Auchentoshan 2000 Exclusive Casks,8.8
Auchentoshan 21,8.5
Auchentoshan American Oak,7.2
Auchentoshan Classic,7.5
Auchentoshan Distillery Cask 2008,6.5
Auchentoshan Three Wood,7.8
Auchroisk 11 Medoc Finish Chieftain's,6.2
Auchroisk 1981 The Singleton,7.2
Auchroisk 1988 DT Octave K&L,8.5
Auchroisk 1990 Signatory (Binny's),8.8
Auchroisk 1990 SMWS 95.13,8.1
Auchroisk 1992 Murray McDavid,7.2
Auchroisk 1995 Chieftain's,7.8
Auchroisk 20,8.5
Aultmore 2009 Sovereign K&L,8.5
Aultmore 21 Year Old ,8.5
Aultmore Batch 1 That Boutique-y Whisky Company,8.1
Bain's Cape Mountain Whisky,7.8
Baker's ,8.5
Bakery Hill Doublewood,8.5
Balblair 10,8.5
Balblair 1978,8.1
Balblair 1989,7.5
Balblair 1990 Bladnoch Forum,9.1
Balblair 1990 Dewar Rattray,8.8
Balblair 1991,8.5
Balblair 1993 Gordon & MacPhail,8.8
Balblair 1997,8.1
Balblair 2000,7.8
Balblair 2001,7.5
Balcones 5th Anniversary Single Barrel,8.8
Balcones Baby Blue,7.8
Balcones Brimstone,8.5
Balcones Brimstone Resurrection,8.8
Balcones Brimstone Texas Scrub Oak Smoked,8.5
Balcones Texas Single Malt Whisky ,8.5
Balcones True Blue Cask Strength Corn Whiskey ,8.5
Ballantine's,7.2
Ballantine's 17,8.5
Ballantine's 30,8.5
Ballechin #1 Burgundy Matured,8.8
Ballechin #2 Madeira Matured,8.1
Ballechin #3 The Port Casks,8.1
Ballechin #4 The Oloroso Casks,7.8
Ballechin 2004 The Ultimate,8.5
Ballindalloch 1966 JWWW,9.1
"Balmenach ""Flying Pigs""",9.1
Balmenach 1974 Connoisseurs Choice,8.5
Balmenach 1978 Cooper's Choice,8.5
Balmenach 1988 Signatory (Binny's),8.5
Balmenach 1988 Signatory (Binny's),8.5
Balmenach 1988 Signatory (for K&L),8.8
Balmenach 1999 SMWS 48.20,8.1
Balmenach 2000 Duncan Taylor NC2,7.8
Balvenie 10 Founder's Reserve,8.1
Balvenie 12 Classic 1980's,8.5
Balvenie 12 Doublewood,8.1
Balvenie 12 Signature,7.5
Balvenie 12 Single Barrel,8.5
Balvenie 14 Yr Peat Week,8.1
Balvenie 15 Single Barrel Cask 10109 ,8.8
Balvenie 15 Single Barrel Cask 11161,8.5
Balvenie 15 Single Barrel Sherry,8.8
Balvenie 16 Triple Cask ,7.8
Balvenie 17 Doublewood,8.5
Balvenie 17 New Oak,8.1
Balvenie 17 Peated Cask,8.5
Balvenie 17 Rum Cask,8.5
Balvenie 17 Sherry Oak,8.5
Balvenie 21 Portwood,8.5
Balvenie 25 Single Cask,8.8
Balvenie 30,9.1
Balvenie 40 Batch 2,9.1
Balvenie 8 (Circa 1970's),7.0
Balvenie Caribbean Cask,8.5
Balvenie Islay Cask 17,8.5
Balvenie Peat Week 2002,8.5
Balvenie Peated Triple Cask 14 Year,8.5
Balvenie Portwood 47.6%,8.5
Balvenie Tun 1401 Batch No. 3,9.4
Balvenie Tun 1401 Batch No. 5,8.8
Balvenie Tun 1401 Batch No. 6,8.8
Balvenie Tun 1401 Batch No. 9,9.1
Balvenie Tun 1509 Batch 1,8.1
Balvenie Tun 1509 Batch 2,8.5
Balvenie Tun 1509 Batch 3,8.8
